,filename,style
16,28908.jpg,Realism
37,29331.jpg,Symbolism
56,633.jpg,Realism
66,31234.jpg,Expressionism
71,95721.jpg,Symbolism
77,19834.jpg,Realism
80,45276.jpg,Realism
84,80938.jpg,Realism
86,65341.jpg,Expressionism
95,20509.jpg,Symbolism
101,23209.jpg,Realism
102,29461.jpg,Symbolism
104,100829.jpg,Realism
107,51728.jpg,Expressionism
108,95360.jpg,Impressionism
110,16019.jpg,Symbolism
120,82971.jpg,Expressionism
122,96372.jpg,Expressionism
126,10805.jpg,Symbolism
129,98644.jpg,Symbolism
138,72442.jpg,Symbolism
140,101495.jpg,Expressionism
146,89307.jpg,Symbolism
149,100182.jpg,Symbolism
151,88558.jpg,Realism
152,49757.jpg,Impressionism
153,18100.jpg,Symbolism
156,17680.jpg,Realism
159,47501.jpg,Realism
164,45079.jpg,Symbolism
166,43030.jpg,Symbolism
169,53841.jpg,Impressionism
180,12262.jpg,Symbolism
181,86917.jpg,Realism
182,5303.jpg,Realism
184,97421.jpg,Symbolism
189,17903.jpg,Symbolism
192,49829.jpg,Realism
193,97649.jpg,Realism
201,92019.jpg,Symbolism
202,81912.jpg,Impressionism
210,17146.jpg,Impressionism
213,12455.jpg,Symbolism
214,31655.jpg,Realism
231,34850.jpg,Symbolism
233,5241.jpg,Impressionism
240,55948.jpg,Realism
242,8362.jpg,Realism
244,60761.jpg,Symbolism
247,9348.jpg,Realism
251,8943.jpg,Impressionism
257,9332.jpg,Symbolism
260,17862.jpg,Realism
261,40855.jpg,Realism
264,34102.jpg,Symbolism
265,393.jpg,Realism
281,254.jpg,Realism
282,102442.jpg,Symbolism
283,8250.jpg,Impressionism
290,91753.jpg,Symbolism
297,99956.jpg,Impressionism
321,57598.jpg,Realism
333,93353.jpg,Impressionism
335,26366.jpg,Realism
345,102837.jpg,Symbolism
349,77220.jpg,Realism
353,95477.jpg,Impressionism
362,51875.jpg,Symbolism
363,71149.jpg,Impressionism
364,21812.jpg,Realism
367,90318.jpg,Symbolism
371,70892.jpg,Realism
375,73456.jpg,Symbolism
376,72945.jpg,Symbolism
380,43868.jpg,Expressionism
382,75881.jpg,Realism
383,68311.jpg,Symbolism
385,71922.jpg,Realism
389,28789.jpg,Realism
392,96668.jpg,Symbolism
396,102960.jpg,Symbolism
397,72083.jpg,Realism
398,42047.jpg,Symbolism
399,70088.jpg,Realism
404,96219.jpg,Symbolism
411,55435.jpg,Symbolism
420,71859.jpg,Symbolism
427,60161.jpg,Realism
434,41682.jpg,Impressionism
436,37256.jpg,Impressionism
437,54668.jpg,Impressionism
438,60691.jpg,Expressionism
446,94592.jpg,Realism
450,67798.jpg,Realism
454,102940.jpg,Realism
457,18398.jpg,Realism
478,28179.jpg,Realism
504,19464.jpg,Impressionism
506,3016.jpg,Impressionism
508,78766.jpg,Realism
509,62636.jpg,Symbolism
515,62530.jpg,Realism
523,56641.jpg,Impressionism
528,64311.jpg,Realism
530,3632.jpg,Impressionism
549,52850.jpg,Impressionism
550,90288.jpg,Realism
551,38869.jpg,Realism
558,36350.jpg,Impressionism
562,97356.jpg,Impressionism
565,94550.jpg,Realism
566,9125.jpg,Realism
567,92192.jpg,Impressionism
573,92742.jpg,Realism
576,4234.jpg,Symbolism
580,24633.jpg,Symbolism
583,93537.jpg,Expressionism
584,22375.jpg,Symbolism
588,41435.jpg,Realism
600,19749.jpg,Realism
605,60166.jpg,Symbolism
609,98622.jpg,Impressionism
610,44149.jpg,Symbolism
615,25287.jpg,Symbolism
626,76556.jpg,Expressionism
630,1534.jpg,Realism
634,40152.jpg,Realism
635,88038.jpg,Realism
644,98002.jpg,Symbolism
648,46324.jpg,Impressionism
657,76947.jpg,Expressionism
660,27826.jpg,Symbolism
664,2807.jpg,Realism
673,31283.jpg,Realism
678,55651.jpg,Realism
695,73974.jpg,Symbolism
719,80175.jpg,Symbolism
723,101178.jpg,Realism
725,102518.jpg,Realism
729,74814.jpg,Realism
731,24609.jpg,Symbolism
745,46104.jpg,Expressionism
749,14128.jpg,Realism
751,77592.jpg,Symbolism
759,75659.jpg,Realism
765,14749.jpg,Realism
766,50325.jpg,Realism
771,3238.jpg,Realism
794,8828.jpg,Expressionism
796,52023.jpg,Impressionism
802,80095.jpg,Symbolism
804,71531.jpg,Realism
805,100831.jpg,Symbolism
808,39817.jpg,Realism
809,85520.jpg,Realism
840,21276.jpg,Impressionism
845,5429.jpg,Realism
847,59311.jpg,Symbolism
848,7710.jpg,Expressionism
854,80058.jpg,Symbolism
856,83168.jpg,Expressionism
862,48925.jpg,Impressionism
867,92685.jpg,Expressionism
890,40246.jpg,Realism
891,59451.jpg,Realism
894,17485.jpg,Realism
897,82619.jpg,Realism
900,73331.jpg,Realism
924,62024.jpg,Realism
926,99133.jpg,Impressionism
927,94129.jpg,Expressionism
928,52238.jpg,Impressionism
937,40252.jpg,Symbolism
944,28824.jpg,Impressionism
951,75180.jpg,Expressionism
954,31728.jpg,Expressionism
955,90572.jpg,Impressionism
957,76860.jpg,Realism
965,80463.jpg,Impressionism
972,87923.jpg,Expressionism
973,68838.jpg,Expressionism
975,26042.jpg,Impressionism
976,18404.jpg,Symbolism
978,20090.jpg,Impressionism
982,100236.jpg,Impressionism
985,43296.jpg,Symbolism
986,40975.jpg,Symbolism
991,30152.jpg,Symbolism
992,89927.jpg,Symbolism
994,16692.jpg,Impressionism
998,87724.jpg,Expressionism
1000,2764.jpg,Realism
1002,32885.jpg,Symbolism
1004,97071.jpg,Expressionism
1005,99526.jpg,Symbolism
1006,86549.jpg,Impressionism
1011,20440.jpg,Impressionism
1022,2009.jpg,Realism
1023,44772.jpg,Expressionism
1032,28898.jpg,Symbolism
1038,65355.jpg,Realism
1040,55888.jpg,Realism
1042,8521.jpg,Impressionism
1047,63776.jpg,Impressionism
1049,75320.jpg,Expressionism
1051,93669.jpg,Expressionism
1055,70846.jpg,Symbolism
1058,98645.jpg,Impressionism
1067,16139.jpg,Impressionism
1074,85210.jpg,Symbolism
1079,7131.jpg,Expressionism
1091,57741.jpg,Symbolism
1092,91127.jpg,Impressionism
1098,62534.jpg,Impressionism
1105,23268.jpg,Realism
1114,41649.jpg,Impressionism
1135,65540.jpg,Expressionism
1141,43038.jpg,Expressionism
1144,62008.jpg,Symbolism
1154,74145.jpg,Symbolism
1156,14326.jpg,Realism
1161,97894.jpg,Realism
1172,91655.jpg,Impressionism
1174,58658.jpg,Impressionism
1182,14705.jpg,Impressionism
1183,22521.jpg,Realism
1184,61167.jpg,Impressionism
1199,65524.jpg,Expressionism
1208,25493.jpg,Impressionism
1217,11233.jpg,Impressionism
1221,59845.jpg,Impressionism
1223,48334.jpg,Realism
1231,39872.jpg,Realism
1236,32817.jpg,Realism
1249,98183.jpg,Expressionism
1256,53267.jpg,Realism
1259,4899.jpg,Realism
1263,72602.jpg,Impressionism
1273,89219.jpg,Realism
1275,60631.jpg,Realism
1281,38878.jpg,Expressionism
1283,6319.jpg,Symbolism
1285,43439.jpg,Realism
1290,33800.jpg,Impressionism
1292,46083.jpg,Impressionism
1297,75455.jpg,Impressionism
1298,62073.jpg,Realism
1300,15562.jpg,Impressionism
1301,91548.jpg,Impressionism
1302,90623.jpg,Symbolism
1307,1885.jpg,Symbolism
1315,957.jpg,Realism
1321,89707.jpg,Expressionism
1325,100283.jpg,Impressionism
1326,100152.jpg,Impressionism
1330,37160.jpg,Impressionism
1333,88516.jpg,Realism
1335,93521.jpg,Impressionism
1337,39702.jpg,Expressionism
1340,78280.jpg,Impressionism
1343,64979.jpg,Expressionism
1344,50112.jpg,Expressionism
1346,7275.jpg,Realism
1349,100541.jpg,Realism
1351,97994.jpg,Realism
1359,1559.jpg,Expressionism
1360,67895.jpg,Realism
1369,11295.jpg,Impressionism
1372,66162.jpg,Expressionism
1380,7614.jpg,Impressionism
1381,65691.jpg,Realism
1382,56418.jpg,Impressionism
1388,84017.jpg,Impressionism
1389,91491.jpg,Realism
1390,44022.jpg,Impressionism
1396,64314.jpg,Realism
1407,99539.jpg,Symbolism
1413,97978.jpg,Realism
1418,25299.jpg,Impressionism
1419,96231.jpg,Impressionism
1420,33623.jpg,Realism
1421,16901.jpg,Expressionism
1423,42660.jpg,Impressionism
1427,3603.jpg,Impressionism
